approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
1.51994955e-05,0.0,200.0,200.0,0.032337069511413574,4826,418,0.3126116,3.267946e-05,856064,723.5899589061737,3424256,85.75968
0.0009208805,0.0059814453,200.0,200.0,0.04107069969177246,4820,419,0.31012365,-0.0013249873,858112,725.2899577617645,3432448,85.181496
0.00060043077,0.0015869141,200.0,200.0,0.02406996488571167,4835,420,0.31301984,-9.663304e-05,860160,726.9847259521484,3440640,85.122
0.0001914275,0.0,200.0,200.0,0.019725680351257324,4812,421,0.31377834,-0.00025647,862208,728.6873819828033,3448832,89.45793
0.0011279829,0.00881958,200.0,200.0,0.02165299654006958,4807,422,0.3110842,-0.00055270165,864256,730.3918778896332,3457024,86.0348
0.0009920195,0.0049438477,200.0,200.0,0.014679908752441406,4809,423,0.3127021,-0.0005889888,866304,732.0957980155945,3465216,88.16682
5.6464385e-05,0.0,200.0,200.0,0.004564166069030762,4814,424,0.3136293,-8.1221166e-05,868352,733.7978219985962,3473408,89.015526
0.00019464146,0.00048828125,200.0,200.0,0.0028799772262573242,4839,425,0.3112078,-0.00013006972,870400,735.4911780357361,3481600,89.81581
0.00045427697,0.000579834,200.0,200.0,0.0039525628089904785,4873,426,0.30179754,-0.000468212,872448,737.172474861145,3489792,88.85193
0.0020339892,0.025604248,200.0,200.0,-0.00011181831359863281,4828,427,0.3079576,-0.0010502872,874496,738.8694729804993,3497984,89.90197
5.680154e-05,0.0,200.0,200.0,-0.0006467103958129883,4810,428,0.3123482,-3.9909646e-06,876544,740.572851896286,3506176,88.72318
0.0007605373,0.0035705566,200.0,200.0,0.006676375865936279,4812,429,0.31491205,-9.69909e-05,878592,742.2755210399628,3514368,88.35797
0.0004642091,6.1035156e-05,200.0,200.0,0.020060181617736816,4799,430,0.31342208,-0.000113699905,880640,743.9826900959015,3522560,86.518745
0.0013515388,0.01171875,200.0,200.0,0.0158957839012146,4796,431,0.31642583,-0.0008571613,882688,745.6910579204559,3530752,86.11929
0.00019704847,0.00064086914,200.0,200.0,0.04920315742492676,4812,432,0.3183023,-0.00033130625,884736,747.3939089775085,3538944,83.54935
0.00023021965,0.0,200.0,200.0,0.03944605588912964,4776,433,0.3216224,-0.00029803277,886784,749.109591960907,3547136,84.03882
0.00023487772,0.0,200.0,200.0,0.056935250759124756,4822,434,0.31458715,0.00012957312,888832,750.8086640834808,3555328,83.79621
0.00023354913,0.0,200.0,200.0,0.0389823317527771,4819,435,0.31119275,-0.00011907413,890880,752.5090517997742,3563520,85.04995
0.00012717563,0.0,200.0,200.0,0.03435242176055908,4815,436,0.31577852,3.0612846e-05,892928,754.2108080387115,3571712,85.81164
4.5378798e-05,0.0,200.0,200.0,0.04377847909927368,4805,437,0.31541237,-0.00011141028,894976,755.9160399436951,3579904,84.03467
2.5447956e-05,0.0,200.0,200.0,0.035767555236816406,4821,438,0.3109949,2.2435699e-05,897024,757.6156799793243,3588096,86.55974
7.513886e-05,0.0,200.0,200.0,0.02838575839996338,4356,439,0.3106895,-0.00010174484,899072,759.4966421127319,3596288,86.63669
0.00030533355,0.0,200.0,200.0,0.04038351774215698,4764,440,0.3172236,-0.00014920895,901120,761.2169499397278,3604480,85.13809
0.00017963012,0.0011901855,200.0,200.0,0.04257780313491821,4820,441,0.32053217,-0.00029186127,903168,762.9168748855591,3612672,82.8358
0.00056162244,0.0032653809,200.0,200.0,0.046716928482055664,4818,442,0.33402595,-0.0003861678,905216,764.6175398826599,3620864,85.44411
0.0005624089,0.0033569336,200.0,200.0,0.028333306312561035,4816,443,0.33009624,-0.0005733009,907264,766.3188619613647,3629056,86.49576
0.00021261879,0.0,200.0,200.0,0.0539698600769043,4820,444,0.32141516,-0.0002449876,909312,768.018670797348,3637248,86.519615
1.543315e-05,0.0,200.0,200.0,0.035854876041412354,4823,445,0.31963342,-7.410823e-05,911360,769.717344045639,3645440,85.77614
0.00012375857,0.0004272461,200.0,200.0,0.018936514854431152,4815,446,0.32223156,-4.103055e-05,913408,771.4190950393677,3653632,89.91829
0.0002481307,9.1552734e-05,200.0,200.0,0.03197741508483887,4819,447,0.32863307,-0.00018259158,915456,773.119390964508,3661824,85.69935
0.0008070704,0.0031738281,200.0,200.0,0.003545105457305908,4808,448,0.33037594,-0.000447025,917504,774.8234889507294,3670016,89.431076
0.0010031835,0.006591797,200.0,200.0,-0.005450844764709473,4751,449,0.3240413,-0.0006866755,919552,776.5480599403381,3678208,90.79757
0.0004367128,0.0020751953,200.0,200.0,-0.039021968841552734,4805,450,0.3113072,-0.0006264044,921600,778.2531578540802,3686400,93.93496
3.5771896e-05,0.0,200.0,200.0,0.011197566986083984,4775,451,0.30703583,1.3173427e-05,923648,779.969007730484,3694592,90.21553
0.00046274695,0.0024414062,200.0,200.0,0.013158738613128662,4778,452,0.31311464,-0.00026451465,925696,781.6837959289551,3702784,90.51978
8.582481e-05,0.0,200.0,200.0,-0.015166044235229492,4696,453,0.31186497,-8.184627e-05,927744,783.4284448623657,3710976,92.07207
0.00023485118,0.00030517578,200.0,200.0,-0.017849087715148926,4825,454,0.3029591,-0.00014853655,929792,785.1264979839325,3719168,92.59813
1.6390673e-05,0.0,200.0,200.0,-0.014511704444885254,4745,455,0.29880548,8.059491e-06,931840,786.8533120155334,3727360,92.39486
0.0009116238,0.005218506,200.0,200.0,-0.000985264778137207,4832,456,0.30093634,-0.00066097686,933888,788.5490169525146,3735552,91.84192
